                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.36892,                 11.854,                0.14516,                0.68162,                 0.2246,                0.20575,                0.16652,                0.19256,                 1.5534,                0.06943,               0.003331,               0.003331,               0.003331
                      2,                    0.4,                0.68194,                0.10475,                  0.755,                0.28198,                0.24882,                0.19121,                 0.2183,                 1.0342,                0.06837,              0.0065324,              0.0065324,              0.0065324
                      3,                0.58915,                0.61281,                 0.1374,                0.71376,                0.29266,                0.24679,                0.16087,                0.41934,                0.92501,                0.12011,              0.0096018,              0.0096018,              0.0096018
                      4,                0.67354,                0.61387,                0.16367,                0.64332,                 0.2114,                0.23009,                0.08479,                0.62495,                0.85653,                0.13916,               0.009406,               0.009406,               0.009406
                      5,                0.61945,                0.63611,                  0.156,                0.75316,                 0.2658,                0.26798,                 0.1272,                0.47097,                0.87785,                0.11744,               0.009406,               0.009406,               0.009406
                      6,                0.62358,                0.62702,                0.15719,                0.61576,                0.31392,                0.30011,                0.17804,                0.39217,                0.76598,                0.10157,               0.009208,               0.009208,               0.009208
                      7,                0.61682,                0.58635,                0.15169,                0.59935,                0.38124,                0.34806,                 0.2339,                0.28751,                 0.8434,                0.09524,                0.00901,                0.00901,                0.00901
                      8,                  0.626,                0.61848,                 0.1578,                0.65534,                0.36486,                0.36682,                0.21666,                0.36554,                0.76871,                0.10163,               0.008812,               0.008812,               0.008812
                      9,                0.57148,                0.61545,                0.14181,                0.63857,                0.38768,                0.40084,                0.24092,                0.28969,                0.83371,                0.09348,               0.008614,               0.008614,               0.008614
                     10,                0.55117,                0.62839,                0.14135,                0.66982,                0.39344,                0.38419,                0.23732,                0.30763,                0.78445,                0.09033,               0.008416,               0.008416,               0.008416
                     11,                0.54029,                0.59348,                0.13552,                0.63166,                0.41051,                0.40014,                0.22905,                0.31348,                0.67367,                0.08427,               0.008218,               0.008218,               0.008218
                     12,                 0.5385,                0.60768,                0.13585,                0.75378,                0.40432,                0.44223,                0.29657,                0.26729,                0.79894,                 0.0793,                0.00802,                0.00802,                0.00802
                     13,                 0.5541,                0.56413,                0.13344,                0.77799,                 0.4614,                 0.4588,                0.32631,                0.24207,                0.69076,                0.07719,               0.007822,               0.007822,               0.007822
                     14,                0.56729,                0.56185,                 0.1335,                0.69533,                0.42905,                0.45968,                0.32053,                0.22375,                 0.7294,                 0.0735,               0.007624,               0.007624,               0.007624
                     15,                0.52597,                0.58073,                0.12618,                0.74554,                0.45628,                0.46934,                0.28194,                0.29497,                0.61789,                0.08111,               0.007426,               0.007426,               0.007426
                     16,                0.60623,                0.51079,                0.13819,                0.70818,                0.56444,                0.48429,                0.34459,                0.26459,                0.66645,                0.07771,               0.007228,               0.007228,               0.007228
                     17,                 0.5697,                  0.546,                0.13101,                0.74417,                0.43922,                0.46546,                0.32484,                0.21993,                0.67194,                0.07441,                0.00703,                0.00703,                0.00703
                     18,                0.50195,                 0.5598,                0.11768,                0.69011,                0.48068,                 0.4903,                0.37279,                0.19217,                 0.6796,                0.06591,               0.006832,               0.006832,               0.006832
                     19,                0.48274,                0.58007,                0.11698,                 0.6826,                0.46471,                0.51379,                  0.368,                0.22386,                0.68365,                0.07293,               0.006634,               0.006634,               0.006634
                     20,                0.48211,                0.55383,                0.11494,                0.70846,                0.58155,                0.56965,                 0.4142,                 0.1934,                0.59978,                0.06729,               0.006436,               0.006436,               0.006436
                     21,                0.45221,                0.55751,                0.11063,                0.69488,                0.54571,                0.53851,                0.40388,                0.20907,                 0.6307,                0.06927,               0.006238,               0.006238,               0.006238
                     22,                0.44229,                0.54365,                0.10596,                0.72424,                0.57888,                0.61513,                0.45201,                0.20927,                0.59188,                0.06949,                0.00604,                0.00604,                0.00604
                     23,                0.45441,                0.54299,                0.10789,                0.77346,                0.54285,                0.57039,                0.42918,                0.18538,                0.59978,                0.06672,               0.005842,               0.005842,               0.005842
                     24,                0.43874,                0.53488,                0.10521,                0.76724,                0.57408,                0.61136,                 0.4281,                0.24574,                 0.5803,                0.07447,               0.005644,               0.005644,               0.005644
                     25,                0.40427,                0.53321,                0.10059,                0.76323,                0.52828,                0.62352,                 0.4752,                0.17841,                0.56885,                0.06136,               0.005446,               0.005446,               0.005446
                     26,                0.41675,                0.51465,                0.10142,                 0.7401,                0.63911,                0.60143,                0.47219,                0.15756,                0.54894,                 0.0594,               0.005248,               0.005248,               0.005248
                     27,                0.42566,                0.51245,                0.09902,                0.63415,                0.66403,                0.62639,                0.49534,                0.15467,                0.53061,                0.06036,                0.00505,                0.00505,                0.00505
                     28,                0.40296,                0.51251,                0.09528,                0.58544,                0.63166,                0.64645,                0.52091,                0.16287,                0.53769,                0.06059,               0.004852,               0.004852,               0.004852
                     29,                0.41199,                0.51258,                0.09778,                0.66643,                0.65866,                0.66508,                0.51835,                0.17119,                0.54334,                0.06323,               0.004654,               0.004654,               0.004654
                     30,                 0.3785,                0.49355,                 0.0917,                0.65814,                0.69371,                0.63668,                0.50385,                 0.1604,                0.54526,                0.06074,               0.004456,               0.004456,               0.004456
                     31,                0.38327,                0.49944,                0.09268,                0.65944,                0.68358,                0.62907,                0.50241,                0.15381,                0.54369,                0.05936,               0.004258,               0.004258,               0.004258
                     32,                0.38279,                0.48881,                0.09166,                0.70787,                0.69095,                0.66253,                0.53366,                0.14926,                0.52691,                0.05792,                0.00406,                0.00406,                0.00406
                     33,                0.36935,                0.47323,                0.08873,                0.72648,                0.64247,                0.69426,                0.56381,                0.15194,                0.52296,                0.05897,               0.003862,               0.003862,               0.003862
                     34,                0.35656,                0.46775,                0.08782,                0.72159,                0.64434,                 0.7216,                0.59181,                0.15249,                0.52061,                0.05866,               0.003664,               0.003664,               0.003664
                     35,                0.35254,                0.46119,                0.08551,                0.72738,                0.64872,                 0.6766,                0.56266,                 0.1462,                0.51562,                0.05755,               0.003466,               0.003466,               0.003466
                     36,                 0.3594,                0.45735,                0.08526,                0.59383,                 0.8289,                 0.7242,                0.60493,                0.14532,                0.51593,                0.05695,               0.003268,               0.003268,               0.003268
                     37,                0.31569,                0.43464,                0.07915,                0.74849,                0.65859,                0.73189,                0.60504,                0.14449,                0.50942,                0.05675,                0.00307,                0.00307,                0.00307
                     38,                0.29846,                0.42545,                0.07725,                0.75759,                0.69374,                0.70801,                0.58705,                0.14264,                0.50621,                0.05648,               0.002872,               0.002872,               0.002872
                     39,                0.31606,                0.43468,                0.07976,                0.77975,                0.72424,                0.72602,                0.60003,                0.14326,                0.50706,                0.05666,               0.002674,               0.002674,               0.002674
                     40,                 0.3072,                0.42799,                0.07953,                  0.773,                0.65604,                0.72104,                0.59686,                0.14325,                 0.5074,                0.05679,               0.002476,               0.002476,               0.002476
                     41,                0.30162,                0.40266,                0.08854,                 0.7708,                0.66144,                0.72408,                0.59656,                0.14148,                0.50912,                0.05602,               0.002278,               0.002278,               0.002278
                     42,                0.36918,                0.43147,                0.10801,                0.62364,                0.82825,                0.72365,                0.60523,                0.14024,                 0.5063,                0.05547,                0.00208,                0.00208,                0.00208
                     43,                0.39762,                0.44288,                0.12843,                0.76065,                0.70996,                0.72381,                0.59707,                0.14201,                0.50353,                0.05544,               0.001882,               0.001882,               0.001882
                     44,                 0.2869,                0.36904,                0.08416,                0.64519,                0.82359,                0.72109,                0.59295,                0.14372,                0.50259,                0.05564,               0.001684,               0.001684,               0.001684
                     45,                0.26545,                  0.356,                0.08167,                0.64425,                0.83058,                0.72145,                0.59389,                0.14385,                 0.5038,                0.05586,               0.001486,               0.001486,               0.001486
                     46,                0.31123,                0.37267,                0.08619,                 0.6443,                0.83008,                0.75262,                0.61184,                0.14137,                0.50382,                0.05596,               0.001288,               0.001288,               0.001288
                     47,                0.41701,                0.39444,                 0.1014,                0.65802,                0.82371,                0.74911,                0.61057,                0.14618,                0.50638,                0.05662,                0.00109,                0.00109,                0.00109
                     48,                0.39483,                0.39202,                0.09955,                0.68623,                0.80856,                 0.7209,                0.58367,                0.15646,                0.51083,                0.05799,               0.000892,               0.000892,               0.000892
                     49,                0.26738,                0.33964,                0.07853,                0.68521,                0.80217,                0.70983,                0.57156,                0.15893,                0.51408,                0.05837,               0.000694,               0.000694,               0.000694
                     50,                0.45597,                 0.3957,                0.10433,                0.68764,                0.80611,                0.71026,                0.57674,                0.15482,                 0.5157,                0.05785,               0.000496,               0.000496,               0.000496
